"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"Unstable Housing or Homelessness","2022","Arkansas","05","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","California","06","100,100","NA","74.9"
"PrEP coverage and number of persons prescribed","2022","California","06","61,509","NA","37.3"
"Linkage to HIV care","2022","California","06","3,986","NA","82.1"
"HIV prevalence","2022","California","06","138,531","418.7","NA"
"HIV diagnoses","2022","California","06","4,856","14.7","NA"
"HIV deaths","2022","California","06","2,131","6.4","NA"
"AIDS prevalence","2022","California","06","69,308","209.5","NA"
"AIDS deaths","2022","California","06","1,635","4.9","NA"
"HIV Stigma","2022","California","06","No Suppression","26.5 (24.3 - 28.7)","NA"
"Unstable Housing or Homelessness","2022","California","06","No Suppression","19.8 (15.6 - 24.0)","NA"
"Receipt of HIV medical care","2022","Colorado","08","8,799","NA","66.2"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","7,611","NA","30.3"
"HIV prevalence","2022","Colorado","08","13,713","274.7","NA"
"AIDS prevalence","2022","Colorado","08","5,650","113.2","NA"
"AIDS deaths","2022","Colorado","08","131","2.6","NA"
"HIV Stigma","2022","Colorado","08","Data not available","Data not available","NA"
"HIV deaths","2022","Colorado","08","179","3.6","NA"
"HIV diagnoses","2022","Colorado","08","433","8.7","NA"
"Linkage to HIV care","2022","Colorado","08","365","NA","84.3"
"Unstable Housing or Homelessness","2022","Colorado","08","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Connecticut","09","8,067","NA","77.5"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","4,001","NA","41.9"
"HIV prevalence","2022","Connecticut","09","10,638","340.5","NA"
"AIDS prevalence","2022","Connecticut","09","6,113","195.7","NA"
"AIDS deaths","2022","Connecticut","09","195","6.2","NA"
"HIV Stigma","2022","Connecticut","09","Data not available","Data not available","NA"
"HIV deaths","2022","Connecticut","09","241","7.7","NA"
"HIV diagnoses","2022","Connecticut","09","220","7.0","NA"
"Linkage to HIV care","2022","Connecticut","09","186","NA","84.5"
"Unstable Housing or Homelessness","2022","Connecticut","09","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Delaware","10","2,904","NA","82.7"
"HIV prevalence","2022","Delaware","10","3,641","417.5","NA"
"AIDS prevalence","2022","Delaware","10","2,116","242.6","NA"
"AIDS deaths","2022","Delaware","10","59","6.8","NA"
"HIV Stigma","2022","Delaware","10","No Suppression","26.5 (22.6 - 30.3)","NA"
"HIV deaths","2022","Delaware","10","70","8.0","NA"
"HIV diagnoses","2022","Delaware","10","128","14.7","NA"
"Linkage to HIV care","2022","Delaware","10","105","NA","82.0"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","852","NA","19.4"
"Unstable Housing or Homelessness","2022","Delaware","10","No Suppression","11.0 (6.7 - 15.4)","NA"
"Receipt of HIV medical care","2022","District of Columbia","11","9,076","NA","68.0"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","7,746","NA","59.8"
"HIV prevalence","2022","District of Columbia","11","13,560","2355.3","NA"
"AIDS prevalence","2022","District of Columbia","11","7,020","1219.3","NA"
"AIDS deaths","2022","District of Columbia","11","161","28.0","NA"
"HIV Stigma","2022","District of Columbia","11","Data not available","Data not available","NA"
"HIV deaths","2022","District of Columbia","11","226","39.3","NA"
"HIV diagnoses","2022","District of Columbia","11","211","36.6","NA"
"Linkage to HIV care","2022","District of Columbia","11","182","NA","86.3"
"Unstable Housing or Homelessness","2022","District of Columbia","11","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Florida","12","90,403","NA","77.8"
"PrEP coverage and number of persons prescribed","2022","Florida","12","46,350","NA","37.0"
"Linkage to HIV care","2022","Florida","12","3,552","NA","82.8"
"HIV prevalence","2022","Florida","12","120,385","626.0","NA"
"HIV diagnoses","2022","Florida","12","4,290","22.3","NA"
"HIV deaths","2022","Florida","12","2,202","11.5","NA"
"AIDS prevalence","2022","Florida","12","59,941","311.7","NA"
"AIDS deaths","2022","Florida","12","1,681","8.7","NA"
"HIV Stigma","2022","Florida","12","No Suppression","28.6 (25.1 - 32.2)","NA"
"Unstable Housing or Homelessness","2022","Florida","12","No Suppression","25.4 (19.2 - 31.7)","NA"
"Receipt of HIV medical care","2022","Georgia","13","44,137","NA","75.5"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","13,744","NA","35.2"
"Linkage to HIV care","2022","Georgia","13","2,014","NA","80.2"
"HIV prevalence","2022","Georgia","13","60,902","664.1","NA"
"HIV diagnoses","2022","Georgia","13","2,511","27.4","NA"
"AIDS prevalence","2022","Georgia","13","29,169","318.1","NA"
"AIDS deaths","2022","Georgia","13","748","8.2","NA"
"HIV Stigma","2022","Georgia","13","No Suppression","26.1 (23.7 - 28.4)","NA"
"HIV deaths","2022","Georgia","13","997","10.9","NA"
"Unstable Housing or Homelessness","2022","Georgia","13","No Suppression","22.4 (15.3 - 29.5)","NA"
"Receipt of HIV medical care","2022","Hawaii","15","2,034","NA","86.3"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","1,512","NA","34.7"
"HIV prevalence","2022","Hawaii","15","2,435","199.1","NA"
"AIDS prevalence","2022","Hawaii","15","1,315","107.5","NA"
"AIDS deaths","2022","Hawaii","15","30","2.5","NA"
"HIV Stigma","2022","Hawaii","15","Data not available","Data not available","NA"
"HIV deaths","2022","Hawaii","15","43","3.5","NA"
"HIV diagnoses","2022","Hawaii","15","78","6.4","NA"
"Linkage to HIV care","2022","Hawaii","15","66","NA","84.6"
"Unstable Housing or Homelessness","2022","Hawaii","15","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","1,075","NA","22.4"
"HIV prevalence","2022","Idaho","16","1,365","84.4","NA"
"AIDS deaths","2022","Idaho","16","12","0.7","NA"
"AIDS prevalence","2022","Idaho","16","626","38.7","NA"
"HIV Stigma","2022","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2022","Idaho","16","16","1.0","NA"
"HIV diagnoses","2022","Idaho","16","41","2.5","NA"
"Linkage to HIV care","2022","Idaho","16","Data not available","NA","Data not available"
"Receipt of HIV medical care","2022","Idaho","16","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2022","Idaho","16","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Illinois","17","26,892","NA","77.0"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","21,898","NA","39.2"
"Linkage to HIV care","2022","Illinois","17","1,087","NA","83.2"
"HIV prevalence","2022","Illinois","17","36,225","338.8","NA"
"HIV diagnoses","2022","Illinois","17","1,306","12.2","NA"
"AIDS prevalence","2022","Illinois","17","17,099","159.9","NA"
"AIDS deaths","2022","Illinois","17","495","4.6","NA"
"HIV Stigma","2022","Illinois","17","No Suppression","27.7 (24.4 - 31.0)","NA"
"HIV deaths","2022","Illinois","17","662","6.2","NA"
"Unstable Housing or Homelessness","2022","Illinois","17","No Suppression","13.7 (5.7 - 21.7)","NA"
"Receipt of HIV medical care","2022","Indiana","18","9,695","NA","79.7"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","5,449","NA","24.6"
"HIV prevalence","2022","Indiana","18","12,781","223.0","NA"
"AIDS prevalence","2022","Indiana","18","5,938","103.6","NA"
"AIDS deaths","2022","Indiana","18","174","3.0","NA"
"HIV Stigma","2022","Indiana","18","No Suppression","27.6 (19.8 - 35.5)","NA"
"HIV deaths","2022","Indiana","18","226","3.9","NA"
"HIV diagnoses","2022","Indiana","18","612","10.7","NA"
"Linkage to HIV care","2022","Indiana","18","472","NA","77.1"
"Unstable Housing or Homelessness","2022","Indiana","18","No Suppression","23.9 (14.3 - 33.4)","NA"
"Receipt of HIV medical care","2022","Iowa","19","2,722","NA","88.0"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","2,198","NA","46.2"
"HIV prevalence","2022","Iowa","19","3,216","119.4","NA"
"AIDS prevalence","2022","Iowa","19","1,551","57.6","NA"
"AIDS deaths","2022","Iowa","19","34","1.3","NA"
"HIV Stigma","2022","Iowa","19","Data not available","Data not available","NA"
"HIV deaths","2022","Iowa","19","47","1.7","NA"
"HIV diagnoses","2022","Iowa","19","123","4.6","NA"
"Linkage to HIV care","2022","Iowa","19","113","NA","91.9"
"Unstable Housing or Homelessness","2022","Iowa","19","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Kansas","20","2,879","NA","82.7"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","1,591","NA","31.4"
"HIV prevalence","2022","Kansas","20","3,616","147.4","NA"
"AIDS prevalence","2022","Kansas","20","1,742","71.0","NA"
"AIDS deaths","2022","Kansas","20","48","2.0","NA"
"HIV Stigma","2022","Kansas","20","Data not available","Data not available","NA"
"HIV deaths","2022","Kansas","20","64","2.6","NA"
"HIV diagnoses","2022","Kansas","20","133","5.4","NA"
"Linkage to HIV care","2022","Kansas","20","119","NA","89.5"
"Unstable Housing or Homelessness","2022","Kansas","20","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Kentucky","21","6,700","NA","83.2"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","3,031","NA","23.3"
"HIV prevalence","2022","Kentucky","21","8,464","222.5","NA"
"AIDS prevalence","2022","Kentucky","21","3,785","99.5","NA"
"AIDS deaths","2022","Kentucky","21","128","3.4","NA"
"HIV Stigma","2022","Kentucky","21","Data not available","Data not available","NA"
"HIV deaths","2022","Kentucky","21","180","4.7","NA"
"HIV diagnoses","2022","Kentucky","21","405","10.6","NA"
"Linkage to HIV care","2022","Kentucky","21","319","NA","78.8"
"Unstable Housing or Homelessness","2022","Kentucky","21","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Louisiana","22","16,786","NA","80.0"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","4,739","NA","29.8"
"HIV prevalence","2022","Louisiana","22","21,816","568.3","NA"
"AIDS prevalence","2022","Louisiana","22","10,635","277.0","NA"
"AIDS deaths","2022","Louisiana","22","359","9.4","NA"
"HIV Stigma","2022","Louisiana","22","Data not available","Data not available","NA"
"HIV deaths","2022","Louisiana","22","485","12.6","NA"
"HIV diagnoses","2022","Louisiana","22","856","22.3","NA"
"Linkage to HIV care","2022","Louisiana","22","676","NA","79.0"
"Unstable Housing or Homelessness","2022","Louisiana","22","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Maine","23","1,410","NA","82.4"
"PrEP coverage and number of persons prescribed","2022","Maine","23","1,120","NA","28.4"
"HIV prevalence","2022","Maine","23","1,774","146.1","NA"
"AIDS deaths","2022","Maine","23","28","2.3","NA"
"AIDS prevalence","2022","Maine","23","856","70.5","NA"
"HIV Stigma","2022","Maine","23","Data not available","Data not available","NA"
"HIV deaths","2022","Maine","23","35","2.9","NA"
"HIV diagnoses","2022","Maine","23","41","3.4","NA"
"Linkage to HIV care","2022","Maine","23","38","NA","92.7"
"Unstable Housing or Homelessness","2022","Maine","23","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Maryland","24","24,127","NA","73.5"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","6,877","NA","25.2"
"HIV prevalence","2022","Maryland","24","33,580","643.8","NA"
"AIDS prevalence","2022","Maryland","24","16,982","325.6","NA"
"AIDS deaths","2022","Maryland","24","453","8.7","NA"
"HIV Stigma","2022","Maryland","24","Data not available","Data not available","NA"
"HIV deaths","2022","Maryland","24","619","11.9","NA"
"HIV diagnoses","2022","Maryland","24","748","14.3","NA"
"Linkage to HIV care","2022","Maryland","24","638","NA","85.3"
"Unstable Housing or Homelessness","2022","Maryland","24","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Massachusetts","25","15,683","NA","75.1"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","13,010","NA","52.2"
"HIV prevalence","2022","Massachusetts","25","21,336","352.7","NA"
"AIDS prevalence","2022","Massachusetts","25","10,955","181.1","NA"
"AIDS deaths","2022","Massachusetts","25","258","4.3","NA"
"HIV Stigma","2022","Massachusetts","25","Data not available","Data not available","NA"
"HIV deaths","2022","Massachusetts","25","362","6.0","NA"
"HIV diagnoses","2022","Massachusetts","25","438","7.2","NA"
"Linkage to HIV care","2022","Massachusetts","25","387","NA","88.4"
"Unstable Housing or Homelessness","2022","Massachusetts","25","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Michigan","26","13,754","NA","81.2"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","7,121","NA","24.1"
"HIV prevalence","2022","Michigan","26","17,596","205.5","NA"
"AIDS prevalence","2022","Michigan","26","8,337","97.4","NA"
"AIDS deaths","2022","Michigan","26","277","3.2","NA"
"HIV Stigma","2022","Michigan","26","No Suppression","34.3 (28.9 - 39.6)","NA"
"HIV deaths","2022","Michigan","26","376","4.4","NA"
"HIV diagnoses","2022","Michigan","26","629","7.3","NA"
"Linkage to HIV care","2022","Michigan","26","541","NA","86.0"
"Unstable Housing or Homelessness","2022","Michigan","26","No Suppression","19.6 (13.6 - 25.5)","NA"
"Receipt of HIV medical care","2022","Minnesota","27","7,138","NA","77.7"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","6,579","NA","30.3"
"HIV prevalence","2022","Minnesota","27","9,467","196.9","NA"
"AIDS prevalence","2022","Minnesota","27","4,086","85.0","NA"
"AIDS deaths","2022","Minnesota","27","91","1.9","NA"
"HIV Stigma","2022","Minnesota","27","Data not available","Data not available","NA"
"HIV deaths","2022","Minnesota","27","126","2.6","NA"
"HIV diagnoses","2022","Minnesota","27","261","5.4","NA"
"Linkage to HIV care","2022","Minnesota","27","224","NA","85.8"
"Unstable Housing or Homelessness","2022","Minnesota","27","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Mississippi","28","4,731","NA","49.9"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","1,727","NA","38.1"
"HIV Stigma","2022","Mississippi","28","No Suppression","32.9 (30.1 - 35.7)","NA"
"HIV diagnoses","2022","Mississippi","28","448","18.1","NA"
"Linkage to HIV care","2022","Mississippi","28","235","NA","52.5"
"Unstable Housing or Homelessness","2022","Mississippi","28","No Suppression","24.8 (16.2 - 33.5)","NA"
"HIV prevalence","2022","Mississippi^","28","9,915","401.2","NA"
"AIDS prevalence","2022","Mississippi^","28","4,638","187.7","NA"
"AIDS deaths","2022","Mississippi^","28","143","5.8","NA"
"HIV deaths","2022","Mississippi^","28","194","7.9","NA"
"Receipt of HIV medical care","2022","Missouri","29","9,805","NA","76.8"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","5,134","NA","27.9"
"HIV prevalence","2022","Missouri","29","13,271","254.3","NA"
"AIDS prevalence","2022","Missouri","29","6,360","121.8","NA"
"AIDS deaths","2022","Missouri","29","181","3.5","NA"
"HIV Stigma","2022","Missouri","29","Data not available","Data not available","NA"
"HIV deaths","2022","Missouri","29","254","4.9","NA"
"HIV diagnoses","2022","Missouri","29","512","9.8","NA"
"Linkage to HIV care","2022","Missouri","29","415","NA","81.1"
"Unstable Housing or Homelessness","2022","Missouri","29","Data not available","Data not available","NA"
"AIDS deaths","2022","Montana","30","10","1.0","NA"
"AIDS prevalence","2022","Montana","30","364","37.9","NA"
"HIV Stigma","2022","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2022","Montana","30","13","1.4","NA"
"HIV diagnoses","2022","Montana","30","11","1.1","NA"
"HIV prevalence","2022","Montana","30","722","75.3","NA"
"Linkage to HIV care","2022","Montana","30","8","NA","72.7"
"PrEP coverage and number of persons prescribed","2022","Montana","30","533","NA","23.3"
"Receipt of HIV medical care","2022","Montana","30","599","NA","84.4"
"Unstable Housing or Homelessness","2022","Montana","30","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Nebraska","31","1,805","NA","77.6"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","1,260","NA","57.8"
"HIV prevalence","2022","Nebraska","31","2,429","148.9","NA"
"AIDS prevalence","2022","Nebraska","31","1,140","69.9","NA"
"AIDS deaths","2022","Nebraska","31","25","1.5","NA"
"HIV Stigma","2022","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2022","Nebraska","31","30","1.8","NA"
"HIV diagnoses","2022","Nebraska","31","91","5.6","NA"
"Linkage to HIV care","2022","Nebraska","31","78","NA","85.7"
"Unstable Housing or Homelessness","2022","Nebraska","31","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Nevada","32","8,340","NA","74.2"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","5,681","NA","49.9"
"HIV prevalence","2022","Nevada","32","11,750","436.0","NA"
"AIDS prevalence","2022","Nevada","32","5,164","191.6","NA"
"AIDS deaths","2022","Nevada","32","152","5.6","NA"
